mass_A
t,x,y,v_{x},v_{y},v
1.868333333E0,1.227225817E2,3.465111441E1,2.213886639E2,-1.932939321E2,2.938970648E2
1.901666667E0,1.310575532E2,2.625689401E1,2.086839017E2,-2.206385493E2,3.036944851E2
1.935000000E0,1.366348419E2,1.994187779E1,1.480613216E2,-1.765135135E2,2.303891825E2
1.968333333E0,1.409283080E2,1.448932645E1,1.339632926E2,-1.553344532E2,2.051218080E2
2.001666667E0,1.455657280E2,9.586247571E0,1.468675857E2,-1.650526760E2,2.209354511E2
2.035000000E0,1.507194804E2,3.485814714E0,1.554803732E2,-1.770931566E2,2.356610544E2
2.068333333E0,1.559310862E2,-2.219962865E0,1.381042644E2,-1.686685022E2,2.179950721E2
2.101666667E0,1.599264313E2,-7.758752101E0,1.289388631E2,-1.659030046E2,2.101167231E2
2.135000000E0,1.645270104E2,-1.328016317E1,1.408697620E2,-1.595031009E2,2.128039686E2
2.168333333E0,1.693177488E2,-1.839229216E1,1.431257472E2,-1.708342426E2,2.228661435E2
2.201666667E0,1.740687269E2,-2.466911267E1,1.385172312E2,-1.812546938E2,2.281234038E2
2.235000000E0,1.785522309E2,-3.047593842E1,1.150155699E2,-1.531805194E2,1.915537857E2
2.268333333E0,1.817364316E2,-3.488114730E1,1.009175408E2,-1.320014591E2,1.661587652E2
2.301666667E0,1.852800669E2,-3.927603569E1,1.409002831E2,-1.902280411E2,2.367268413E2
2.335000000E0,1.911297838E2,-4.756301670E1,1.127046340E2,-1.557877133E2,1.922814244E2
2.368333333E0,1.927937092E2,-4.966188325E1,8.201161552E1,-1.161601163E2,1.421938033E2
2.401666667E0,1.965972248E2,-5.530702446E1,1.322904917E2,-1.979410167E2,2.380786011E2
2.435000000E0,2.016130753E2,-6.285795102E1,,,
